season,episode_title,episode_url,burger_of_the_day,burger_name,burger_description,tvmaze_episode_id,tvmaze_episode_name,tvmaze_episode_number,tvmaze_episode_url,tvmaze_match_type,tvmaze_match_score
2,Synchronized Swimming,https://bobs-burgers.fandom.com/wiki/Synchronized_Swimming,SHAKE YOUR HONEYMAKER BURGER (Comes with honey mustard),SHAKE YOUR HONEYMAKER BURGER,Comes with honey mustard,7430,Synchronized Swimming,3,https://www.tvmaze.com/episodes/7430/bobs-burgers-2x03-synchronized-swimming,exact,1.0
2,Synchronized Swimming,https://bobs-burgers.fandom.com/wiki/Synchronized_Swimming,USE IT OR BLEUS IT BURGER (Comes with bleu cheese),USE IT OR BLEUS IT BURGER,Comes with bleu cheese,7430,Synchronized Swimming,3,https://www.tvmaze.com/episodes/7430/bobs-burgers-2x03-synchronized-swimming,exact,1.0
2,Synchronized Swimming,https://bobs-burgers.fandom.com/wiki/Synchronized_Swimming,THE ONE YAM BAND BURGER (Comes with yams),THE ONE YAM BAND BURGER,Comes with yams,7430,Synchronized Swimming,3,https://www.tvmaze.com/episodes/7430/bobs-burgers-2x03-synchronized-swimming,exact,1.0
2,Synchronized Swimming,https://bobs-burgers.fandom.com/wiki/Synchronized_Swimming,DO THE BRUSSEL BURGER (Comes with brussel sprouts),DO THE BRUSSEL BURGER,Comes with brussel sprouts,7430,Synchronized Swimming,3,https://www.tvmaze.com/episodes/7430/bobs-burgers-2x03-synchronized-swimming,exact,1.0
2,Burgerboss,https://bobs-burgers.fandom.com/wiki/Burgerboss,PAPAYA WAS A ROLLING STONE BURGER,PAPAYA WAS A ROLLING STONE BURGER,,7431,Burgerboss,4,https://www.tvmaze.com/episodes/7431/bobs-burgers-2x04-burgerboss,exact,1.0
2,Burgerboss,https://bobs-burgers.fandom.com/wiki/Burgerboss,GOOD NIGHT AND GOOD LEEK BURGER,GOOD NIGHT AND GOOD LEEK BURGER,,7431,Burgerboss,4,https://www.tvmaze.com/episodes/7431/bobs-burgers-2x04-burgerboss,exact,1.0
2,Burgerboss,https://bobs-burgers.fandom.com/wiki/Burgerboss,BAND ON THE BUN BURGER (Comes with wings),BAND ON THE BUN BURGER,Comes with wings,7431,Burgerboss,4,https://www.tvmaze.com/episodes/7431/bobs-burgers-2x04-burgerboss,exact,1.0
2,Food Truckin',https://bobs-burgers.fandom.com/wiki/Food_Truckin%27,CHORIZO YOUR OWN ADVENTURE BURGER,CHORIZO YOUR OWN ADVENTURE BURGER,,7432,Food Truckin',5,https://www.tvmaze.com/episodes/7432/bobs-burgers-2x05-food-truckin,exact,1.0
2,Food Truckin',https://bobs-burgers.fandom.com/wiki/Food_Truckin%27,WHAT'S THE WORCESTERSHIRE THAT COULD HAPPEN BURGER,WHAT'S THE WORCESTERSHIRE THAT COULD HAPPEN BURGER,,7432,Food Truckin',5,https://www.tvmaze.com/episodes/7432/bobs-burgers-2x05-food-truckin,exact,1.0
2,Food Truckin',https://bobs-burgers.fandom.com/wiki/Food_Truckin%27,WHERE HAVE YOU BEAN ALL MY LIFE BURGER (Comes with baked beans),WHERE HAVE YOU BEAN ALL MY LIFE BURGER,Comes with baked beans,7432,Food Truckin',5,https://www.tvmaze.com/episodes/7432/bobs-burgers-2x05-food-truckin,exact,1.0
2,Dr. Yap,https://bobs-burgers.fandom.com/wiki/Dr._Yap_(Episode),"IT'S FUN TO EAT AT THE rYeMCA BURGER (Comes on R y e w/ M ustard, C heese & A vocado)",IT'S FUN TO EAT AT THE rYeMCA BURGER,"Comes on R y e w/ M ustard, C heese & A vocado",7433,Dr. Yap,6,https://www.tvmaze.com/episodes/7433/bobs-burgers-2x06-dr-yap,exact,1.0
2,Moody Foodie,https://bobs-burgers.fandom.com/wiki/Moody_Foodie_(Episode),IF LOOKS COULD KALE BURGER,IF LOOKS COULD KALE BURGER,,7434,Moody Foodie,7,https://www.tvmaze.com/episodes/7434/bobs-burgers-2x07-moody-foodie,exact,1.0
2,Moody Foodie,https://bobs-burgers.fandom.com/wiki/Moody_Foodie_(Episode),LITTLE SWISS BUNSHINE BURGER (Comes on a buttered bun),LITTLE SWISS BUNSHINE BURGER,Comes on a buttered bun,7434,Moody Foodie,7,https://www.tvmaze.com/episodes/7434/bobs-burgers-2x07-moody-foodie,exact,1.0
2,Moody Foodie,https://bobs-burgers.fandom.com/wiki/Moody_Foodie_(Episode),GIRLS JUST WANNA HAVE FENNEL BURGER,GIRLS JUST WANNA HAVE FENNEL BURGER,,7434,Moody Foodie,7,https://www.tvmaze.com/episodes/7434/bobs-burgers-2x07-moody-foodie,exact,1.0
2,Moody Foodie,https://bobs-burgers.fandom.com/wiki/Moody_Foodie_(Episode),THE FINAL KRAUT DOWN BURGER (Comes with sauerkraut),THE FINAL KRAUT DOWN BURGER,Comes with sauerkraut,7434,Moody Foodie,7,https://www.tvmaze.com/episodes/7434/bobs-burgers-2x07-moody-foodie,exact,1.0
2,Bad Tina,https://bobs-burgers.fandom.com/wiki/Bad_Tina,SIT AND SPINACH BURGER,SIT AND SPINACH BURGER,,7435,Bad Tina,8,https://www.tvmaze.com/episodes/7435/bobs-burgers-2x08-bad-tina,exact,1.0
2,Bad Tina,https://bobs-burgers.fandom.com/wiki/Bad_Tina,SWEATY PALMS BURGER (Comes with hearts of palm),SWEATY PALMS BURGER,Comes with hearts of palm,7435,Bad Tina,8,https://www.tvmaze.com/episodes/7435/bobs-burgers-2x08-bad-tina,exact,1.0
2,Beefsquatch,https://bobs-burgers.fandom.com/wiki/Beefsquatch,POUTINE ON THE RITZ BURGER (Comes with poutine fries),POUTINE ON THE RITZ BURGER,Comes with poutine fries,7436,Beefsquatch,9,https://www.tvmaze.com/episodes/7436/bobs-burgers-2x09-beefsquatch,exact,1.0
2,Beefsquatch,https://bobs-burgers.fandom.com/wiki/Beefsquatch,ONION-TENDED CONSEQUENCES BURGER,ONION-TENDED CONSEQUENCES BURGER,,7436,Beefsquatch,9,https://www.tvmaze.com/episodes/7436/bobs-burgers-2x09-beefsquatch,exact,1.0
2,Beefsquatch,https://bobs-burgers.fandom.com/wiki/Beefsquatch,BRUSCHETTA BOUT IT BURGER,BRUSCHETTA BOUT IT BURGER,,7436,Beefsquatch,9,https://www.tvmaze.com/episodes/7436/bobs-burgers-2x09-beefsquatch,exact,1.0
2,Beefsquatch,https://bobs-burgers.fandom.com/wiki/Beefsquatch,MESCLUN AROUND BURGER,MESCLUN,AROUND BURGER,7436,Beefsquatch,9,https://www.tvmaze.com/episodes/7436/bobs-burgers-2x09-beefsquatch,exact,1.0
2,Beefsquatch,https://bobs-burgers.fandom.com/wiki/Beefsquatch,MEDITERR-AIN'T MISBEHAVIN' BURGER,MEDITERR-AIN'T MISBEHAVIN' BURGER,,7436,Beefsquatch,9,https://www.tvmaze.com/episodes/7436/bobs-burgers-2x09-beefsquatch,exact,1.0
2,Beefsquatch,https://bobs-burgers.fandom.com/wiki/Beefsquatch,I'M GONNA GET YOU SUCCOTASH BURGER,I'M GONNA GET YOU SUCCOTASH BURGER,,7436,Beefsquatch,9,https://www.tvmaze.com/episodes/7436/bobs-burgers-2x09-beefsquatch,exact,1.0
2,Beefsquatch,https://bobs-burgers.fandom.com/wiki/Beefsquatch,EVERY BREATH YOU TIKKA MASALA BURGER,EVERY BREATH YOU TIKKA MASALA BURGER,,7436,Beefsquatch,9,https://www.tvmaze.com/episodes/7436/bobs-burgers-2x09-beefsquatch,exact,1.0
2,Beefsquatch,https://bobs-burgers.fandom.com/wiki/Beefsquatch,THE DON’T GET CREME FRAICHE WITH ME BURGER,THE DON’T GET CREME FRAICHE WITH ME BURGER,,7436,Beefsquatch,9,https://www.tvmaze.com/episodes/7436/bobs-burgers-2x09-beefsquatch,exact,1.0
3,Ear-sy Rider,https://bobs-burgers.fandom.com/wiki/Ear-sy_Rider,TWO KARAT BURGER (Comes with two carrots),TWO KARAT BURGER,Comes with two carrots,7437,Ear-sy Rider,1,https://www.tvmaze.com/episodes/7437/bobs-burgers-3x01-ear-sy-rider,exact,1.0
3,Ear-sy Rider,https://bobs-burgers.fandom.com/wiki/Ear-sy_Rider,SAY IT AIN'T CILANTRO BURGER (Doesn't come with cilantro... Because cilantro is terrible.),SAY IT AIN'T CILANTRO BURGER,Doesn't come with cilantro... Because cilantro is terrible.,7437,Ear-sy Rider,1,https://www.tvmaze.com/episodes/7437/bobs-burgers-3x01-ear-sy-rider,exact,1.0
3,Ear-sy Rider,https://bobs-burgers.fandom.com/wiki/Ear-sy_Rider,NOT IF I CAN KELP IT BURGER,NOT IF I CAN KELP IT BURGER,,7437,Ear-sy Rider,1,https://www.tvmaze.com/episodes/7437/bobs-burgers-3x01-ear-sy-rider,exact,1.0
3,Full Bars,https://bobs-burgers.fandom.com/wiki/Full_Bars,THE JACK-O-LENTIL BURGER,THE JACK-O-LENTIL BURGER,,7438,Full Bars,2,https://www.tvmaze.com/episodes/7438/bobs-burgers-3x02-full-bars,exact,1.0
3,Bob Fires the Kids,https://bobs-burgers.fandom.com/wiki/Bob_Fires_the_Kids,ITSY BITSY TEENY WEENIE YELLOW POLKA DOT ZUCCHINI BURGER,ITSY BITSY TEENY WEENIE YELLOW POLKA DOT ZUCCHINI BURGER,,7439,Bob Fires the Kids,3,https://www.tvmaze.com/episodes/7439/bobs-burgers-3x03-bob-fires-the-kids,exact,1.0
3,Bob Fires the Kids,https://bobs-burgers.fandom.com/wiki/Bob_Fires_the_Kids,SUMMER THYME BURGER,SUMMER THYME BURGER,,7439,Bob Fires the Kids,3,https://www.tvmaze.com/episodes/7439/bobs-burgers-3x03-bob-fires-the-kids,exact,1.0
3,Bob Fires the Kids,https://bobs-burgers.fandom.com/wiki/Bob_Fires_the_Kids,BUTTERFACE BURGER (Served with butter lettuce),BUTTERFACE BURGER,Served with butter lettuce,7439,Bob Fires the Kids,3,https://www.tvmaze.com/episodes/7439/bobs-burgers-3x03-bob-fires-the-kids,exact,1.0
3,Bob Fires the Kids,https://bobs-burgers.fandom.com/wiki/Bob_Fires_the_Kids,BEETS ME BURGER,BEETS ME BURGER,,7439,Bob Fires the Kids,3,https://www.tvmaze.com/episodes/7439/bobs-burgers-3x03-bob-fires-the-kids,exact,1.0
3,Bob Fires the Kids,https://bobs-burgers.fandom.com/wiki/Bob_Fires_the_Kids,"WE'RE HERE WE'RE GRUYERE, GET USED TO IT BURGER","WE'RE HERE WE'RE GRUYERE, GET USED TO IT BURGER",,7439,Bob Fires the Kids,3,https://www.tvmaze.com/episodes/7439/bobs-burgers-3x03-bob-fires-the-kids,exact,1.0
3,Mutiny on the Windbreaker,https://bobs-burgers.fandom.com/wiki/Mutiny_on_the_Windbreaker,"None (A Burger of the Day can be partially seen, but only a couple of letters are visible)",None,"A Burger of the Day can be partially seen, but only a couple of letters are visible",7440,Mutiny on the Windbreaker,4,https://www.tvmaze.com/episodes/7440/bobs-burgers-3x04-mutiny-on-the-windbreaker,exact,1.0
3,An Indecent Thanksgiving Proposal,https://bobs-burgers.fandom.com/wiki/An_Indecent_Thanksgiving_Proposal,PLYMOUTH ROQUEFORT BURGER,PLYMOUTH ROQUEFORT BURGER,,7441,An Indecent Thanksgiving Proposal,5,https://www.tvmaze.com/episodes/7441/bobs-burgers-3x05-an-indecent-thanksgiving-proposal,exact,1.0
3,The Deepening,https://bobs-burgers.fandom.com/wiki/The_Deepening,SHE'S A SUPER LEEK BURGER (Comes with braised leeks),SHE'S A SUPER LEEK BURGER,Comes with braised leeks,7442,The Deepening,6,https://www.tvmaze.com/episodes/7442/bobs-burgers-3x06-the-deepening,exact,1.0
3,The Deepening,https://bobs-burgers.fandom.com/wiki/The_Deepening,LET'S GET FRISÉE BURGER,LET'S GET FRISÉE BURGER,,7442,The Deepening,6,https://www.tvmaze.com/episodes/7442/bobs-burgers-3x06-the-deepening,exact,1.0
3,Tinarannosaurus Wrecks,https://bobs-burgers.fandom.com/wiki/Tinarannosaurus_Wrecks,OPEN SESAME BURGER (Served open-faced on a sesame seed bun),OPEN SESAME BURGER,Served open-faced on a sesame seed bun,7443,Tina-Rannosaurus Wrecks,7,https://www.tvmaze.com/episodes/7443/bobs-burgers-3x07-tina-rannosaurus-wrecks,fuzzy,0.978
3,Tinarannosaurus Wrecks,https://bobs-burgers.fandom.com/wiki/Tinarannosaurus_Wrecks,CHIPOTLE OFF THE OLD BLOCK BURGER,CHIPOTLE OFF THE OLD BLOCK BURGER,,7443,Tina-Rannosaurus Wrecks,7,https://www.tvmaze.com/episodes/7443/bobs-burgers-3x07-tina-rannosaurus-wrecks,fuzzy,0.978
3,Tinarannosaurus Wrecks,https://bobs-burgers.fandom.com/wiki/Tinarannosaurus_Wrecks,DON'T GIVE ME NO CHIVE BURGER (Served with no chives),DON'T GIVE ME NO CHIVE BURGER,Served with no chives,7443,Tina-Rannosaurus Wrecks,7,https://www.tvmaze.com/episodes/7443/bobs-burgers-3x07-tina-rannosaurus-wrecks,fuzzy,0.978
3,Tinarannosaurus Wrecks,https://bobs-burgers.fandom.com/wiki/Tinarannosaurus_Wrecks,PICKLE MY FUNNY BONE BURGER,PICKLE MY FUNNY BONE BURGER,,7443,Tina-Rannosaurus Wrecks,7,https://www.tvmaze.com/episodes/7443/bobs-burgers-3x07-tina-rannosaurus-wrecks,fuzzy,0.978
3,The Unbearable Like-Likeness of Gene,https://bobs-burgers.fandom.com/wiki/The_Unbearable_Like-Likeness_of_Gene,YES I CAYENNE BURGER,YES I CAYENNE BURGER,,7444,The Unbearable Like-Likeness of Gene,8,https://www.tvmaze.com/episodes/7444/bobs-burgers-3x08-the-unbearable-like-likeness-of-gene,exact,1.0
3,The Unbearable Like-Likeness of Gene,https://bobs-burgers.fandom.com/wiki/The_Unbearable_Like-Likeness_of_Gene,BEAN SPIRIT (Comes with beans),BEAN SPIRIT,Comes with beans,7444,The Unbearable Like-Likeness of Gene,8,https://www.tvmaze.com/episodes/7444/bobs-burgers-3x08-the-unbearable-like-likeness-of-gene,exact,1.0
3,God Rest Ye Merry Gentle-Mannequins,https://bobs-burgers.fandom.com/wiki/God_Rest_Ye_Merry_Gentle-Mannequins,"ONE HORSE OPEN SLAW BURGER (Comes with slaw, no horse)",ONE HORSE OPEN SLAW BURGER,"Comes with slaw, no horse",7445,God Rest Ye Merry Gentle-Mannequins,9,https://www.tvmaze.com/episodes/7445/bobs-burgers-3x09-god-rest-ye-merry-gentle-mannequins,exact,1.0
3,God Rest Ye Merry Gentle-Mannequins,https://bobs-burgers.fandom.com/wiki/God_Rest_Ye_Merry_Gentle-Mannequins,SANTA CLAUS IS CUMIN TO TOWN BURGER (With cumin),SANTA CLAUS IS CUMIN TO TOWN BURGER,With cumin,7445,God Rest Ye Merry Gentle-Mannequins,9,https://www.tvmaze.com/episodes/7445/bobs-burgers-3x09-god-rest-ye-merry-gentle-mannequins,exact,1.0
3,God Rest Ye Merry Gentle-Mannequins,https://bobs-burgers.fandom.com/wiki/God_Rest_Ye_Merry_Gentle-Mannequins,FIFTH DAY OF CHRISTMAS BURGER (Comes with five golden rings of onion),FIFTH DAY OF CHRISTMAS BURGER,Comes with five golden rings of onion,7445,God Rest Ye Merry Gentle-Mannequins,9,https://www.tvmaze.com/episodes/7445/bobs-burgers-3x09-god-rest-ye-merry-gentle-mannequins,exact,1.0
